# OF ORDERS,CATEGORY,DISH,COMPONENT,INGREDIENT,QUANTITY PER SERVING,UNIT,TOTAL Q FOR THIS WEEK,IN STOCK,DIFF,NEED TO SHOP?,Q,UNIT,WHERE TO SHOP (1ST CHOICE)
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,POTATO WEDGES,POTATO RUSSET,1.00,POTATO RUSSET,30.00,30,7.5,YES,7.5,POTATO RUSSET,RD
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,AVOCADO SPREAD,AVOCADO,0.50,AVOCADO,15.00,5,11.50,YES,11.5,AVOCADO,RD
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,GRILLED ONIONS,ONION,0.50,ONION,15.00,10,32.90,YES,32.9,ONION,RD
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,BURGER PATTY,BLACK BEANS,7.00,OZ,210.00,999,-774,NO,774,OZ,RD
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,BURGER,BUNS,1.00,BUN,30.00,5,25.00,YES,25,BUN,AMAZON
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,BURGER PATTY,OATS,0.13,CUP,3.75,999,-993.9,NO,993.9,CUP,RD
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,BURGER PATTY,FLAX POWDER,0.13,CUP,3.75,999,-993.375,NO,993.375,CUP,RD
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,BURGER PATTY,CUMIN,0.25,TSP,7.50,999,-963.1,NO,963.1,TSP,RD
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,BURGER PATTY,CAYENNE,0.25,TSP,7.50,999,-991.1875,NO,991.1875,TSP,RD
30,ENTREE,BBQ BLACK BEAN BURGERS WITH GRILLED ONIONS & POTATO WEDGES,BURGER PATTY,GARLIC POWDER,0.25,TSP,7.50,999,-991.5,NO,991.5,TSP,RD
